Time,X(CH1),X(CH2),
Second,Volt,Volt,
-6.6589910e-01,-0.00000e+00,1.40000e-01,
-6.6560614e-01,-0.00000e+00,1.40000e-01,
-6.6531318e-01,-0.00000e+00,1.40000e-01,
-6.6502023e-01,-0.00000e+00,1.40000e-01,
-6.6472727e-01,-0.00000e+00,1.40000e-01,
-6.6443431e-01,-0.00000e+00,1.40000e-01,
-6.6414136e-01,-0.00000e+00,1.38000e-01,
-6.6384840e-01,-0.00000e+00,1.38000e-01,
-6.6355544e-01,-0.00000e+00,1.34000e-01,
-6.6326249e-01,2.00001e-01,1.38000e-01,
-6.6296953e-01,-0.00000e+00,1.42000e-01,
-6.6267657e-01,-0.00000e+00,1.40000e-01,
-6.6238362e-01,-0.00000e+00,1.42000e-01,
-6.6209066e-01,-0.00000e+00,1.42000e-01,
-6.6179770e-01,-0.00000e+00,1.40000e-01,
-6.6150475e-01,-0.00000e+00,1.42000e-01,
-6.6121179e-01,2.00001e-01,1.46000e-01,
-6.6091883e-01,-0.00000e+00,1.44000e-01,
-6.6062587e-01,-0.00000e+00,1.44000e-01,
-6.6033292e-01,-0.00000e+00,1.44000e-01,
-6.6003996e-01,-0.00000e+00,1.46000e-01,
-6.5974700e-01,-0.00000e+00,1.46000e-01,
-6.5945405e-01,2.00001e-01,1.44000e-01,
-6.5916109e-01,-0.00000e+00,1.48000e-01,
-6.5886813e-01,-0.00000e+00,1.46000e-01,
-6.5857518e-01,-0.00000e+00,1.46000e-01,
-6.5828222e-01,-0.00000e+00,1.46000e-01,
-6.5798926e-01,-0.00000e+00,1.50000e-01,
-6.5769631e-01,-0.00000e+00,1.46000e-01,
-6.5740335e-01,2.00001e-01,1.48000e-01,
-6.5711039e-01,-0.00000e+00,1.46000e-01,
-6.5681744e-01,-0.00000e+00,1.48000e-01,
-6.5652448e-01,-0.00000e+00,1.50000e-01,
-6.5623152e-01,-0.00000e+00,1.48000e-01,
-6.5593857e-01,2.00001e-01,1.48000e-01,
-6.5564561e-01,-0.00000e+00,1.48000e-01,
-6.5535265e-01,-0.00000e+00,1.46000e-01,
-6.5505970e-01,2.00001e-01,1.48000e-01,
-6.5476674e-01,-0.00000e+00,1.50000e-01,
-6.5447378e-01,-0.00000e+00,1.48000e-01,
